city,cityid,cloudiness,country,date_time,humidity,lat,lon,max_temp,temp,wind
lavrentiya,4031637.0,0.0,RU,1607567791.0,87.0,65.58,-171.0,-13.02,-13.02,3.4
antalaha,1071296.0,23.0,MG,1607567791.0,79.0,-14.9,50.28,24.1,24.1,1.83
torbay,6167817.0,90.0,CA,1607567519.0,93.0,47.67,-52.73,3.33,2.56,9.3
kapit,1737185.0,80.0,MY,1607567792.0,66.0,2.02,112.93,30.55,30.55,1.52
luderitz,3355672.0,74.0,NA,1607567792.0,88.0,-26.65,15.16,14.92,14.92,4.02
ilulissat,3423146.0,98.0,GL,1607567792.0,44.0,69.22,-51.1,-7.0,-7.0,3.6
portland,5746545.0,20.0,US,1607567778.0,87.0,45.52,-122.68,7.22,6.03,0.49
lahaina,5849996.0,40.0,US,1607567793.0,100.0,20.88,-156.68,30.0,25.7,4.1
busselton,2075265.0,42.0,AU,1607567793.0,9.0,-33.65,115.33,34.44,32.22,4.78
nanortalik,3421765.0,0.0,GL,1607567793.0,79.0,60.14,-45.24,-2.21,-2.21,2.37
dikson,1507390.0,2.0,RU,1607567793.0,86.0,73.51,80.55,-23.65,-23.65,1.6
kapaa,5848280.0,75.0,US,1607567794.0,74.0,22.08,-159.32,27.0,25.27,4.1
mount gambier,2156643.0,40.0,AU,1607567794.0,48.0,-37.83,140.77,18.0,18.0,8.7
saldanha,3361934.0,0.0,ZA,1607567794.0,93.0,-33.01,17.94,15.0,15.0,3.1
zhigansk,2012530.0,38.0,RU,1607567794.0,81.0,66.77,123.37,-38.77,-38.77,0.57
leshukonskoye,535839.0,12.0,RU,1607567795.0,92.0,64.9,45.76,-5.78,-5.78,4.55
bud,4255151.0,1.0,US,1607567795.0,85.0,39.45,-86.18,3.0,2.85,1.4
palmer,4946620.0,72.0,US,1607567795.0,84.0,42.16,-72.33,0.56,-0.18,0.45
vaini,4032243.0,40.0,TO,1607567795.0,78.0,-21.2,-175.2,28.0,28.0,6.7
sao mateus,3448519.0,99.0,BR,1607567795.0,89.0,-18.72,-39.86,23.31,23.31,4.1
davila,1715335.0,75.0,PH,1607567795.0,74.0,18.47,120.58,30.0,30.0,2.1
vila velha,3445026.0,90.0,BR,1607567796.0,94.0,-20.33,-40.29,23.0,23.0,1.5
